hvar_id,wy_codename,true_name,pathway
HVAR_001,SPORE1,INF1,innate_immune
HVAR_002,SPORE2,INF2,innate_immune
HVAR_003,SPORE3,INF3,innate_immune
HVAR_004,SPORE4,INF4,innate_immune
HVAR_005,SPORE5,INF5,innate_immune
HVAR_006,SPORE6,INF6,innate_immune
HVAR_007,SPORE7,INF7,innate_immune
HVAR_008,SPORE8,INF8,innate_immune
HVAR_009,SPORE9,INF9,innate_immune
HVAR_010,SPORE10,INF10,innate_immune
HVAR_011,MUTX1,PROL1,cell_proliferation
HVAR_012,MUTX2,PROL2,cell_proliferation
HVAR_013,MUTX3,PROL3,cell_proliferation
HVAR_014,MUTX4,PROL4,cell_proliferation
HVAR_015,MUTX5,PROL5,cell_proliferation
HVAR_016,MUTX6,PROL6,cell_proliferation
HVAR_017,MUTX7,PROL7,cell_proliferation
HVAR_018,MUTX8,PROL8,cell_proliferation
HVAR_019,MUTX9,PROL9,cell_proliferation
HVAR_020,MUTX10,PROL10,cell_proliferation
HVAR_021,XENO1,VASC1,angiogenesis_vascular
HVAR_022,XENO2,VASC2,angiogenesis_vascular
HVAR_023,XENO3,VASC3,angiogenesis_vascular
HVAR_024,XENO4,VASC4,angiogenesis_vascular
HVAR_025,XENO5,VASC5,angiogenesis_vascular
HVAR_026,XENO6,VASC6,angiogenesis_vascular
HVAR_027,XENO7,VASC7,angiogenesis_vascular
HVAR_028,XENO8,VASC8,angiogenesis_vascular
HVAR_029,XENO9,VASC9,angiogenesis_vascular
HVAR_030,XENO10,VASC10,angiogenesis_vascular
HVAR_031,RIDLEY1,PARA1,cooperative_host_reprogramming
HVAR_032,RIDLEY2,PARA2,cooperative_host_reprogramming
HVAR_033,RIDLEY3,PARA3,cooperative_host_reprogramming
HVAR_034,RIDLEY4,PARA4,cooperative_host_reprogramming
HVAR_035,RIDLEY5,PARA5,cooperative_host_reprogramming
HVAR_036,RIDLEY6,PARA6,cooperative_host_reprogramming
HVAR_037,RIDLEY7,PARA7,cooperative_host_reprogramming
HVAR_038,RIDLEY8,PARA8,cooperative_host_reprogramming
HVAR_039,RIDLEY9,PARA9,cooperative_host_reprogramming
HVAR_040,RIDLEY10,PARA10,cooperative_host_reprogramming
HVAR_041,PROT1,REPR1,dna_repair_antiviral
HVAR_042,PROT2,REPR2,dna_repair_antiviral
HVAR_043,PROT3,REPR3,dna_repair_antiviral
HVAR_044,PROT4,REPR4,dna_repair_antiviral
HVAR_045,PROT5,REPR5,dna_repair_antiviral
HVAR_046,PROT6,REPR6,dna_repair_antiviral
HVAR_047,PROT7,REPR7,dna_repair_antiviral
HVAR_048,PROT8,REPR8,dna_repair_antiviral
HVAR_049,PROT9,REPR9,dna_repair_antiviral
HVAR_050,PROT10,REPR10,dna_repair_antiviral
