,JUDE_T0,SABRA_T0,JOHNER_T0,FERRO_T0,WIERZBOWSKI_T0,HILLARD_T0,CROWE_T0,AARON_T0,JUDE_T1,SABRA_T1,JOHNER_T1,FERRO_T1,WIERZBOWSKI_T1,HILLARD_T1,CROWE_T1,AARON_T1,JUDE_T2,SABRA_T2,JOHNER_T2,FERRO_T2,WIERZBOWSKI_T2,HILLARD_T2,CROWE_T2,AARON_T2,JUDE_T3,SABRA_T3,JOHNER_T3,FERRO_T3,WIERZBOWSKI_T3,HILLARD_T3,CROWE_T3,AARON_T3,CALL_T0,OUTLIER_C_T0,CALL_T1,OUTLIER_C_T1,CALL_T2,OUTLIER_C_T2,CALL_T3,OUTLIER_C_T3,APONE_T0,APONE_T1,APONE_T2,APONE_T3,BURKE_T0,BURKE_T1,BURKE_T2,BURKE_T3,DISTEPHANO_T0,DISTEPHANO_T1,DISTEPHANO_T2,DISTEPHANO_T3,HICKS_T0,HICKS_T1,HICKS_T2,HICKS_T3,HUDSON_T0,HUDSON_T1,HUDSON_T2,HUDSON_T3,TULLY_T0,TULLY_T1,TULLY_T2,TULLY_T3,BOGGS_T0,BOGGS_T1,BOGGS_T2,BOGGS_T3,CLEMENS_T0,CLEMENS_T1,CLEMENS_T2,CLEMENS_T3,DIETRICH_T0,DIETRICH_T1,DIETRICH_T2,DIETRICH_T3,JACOBS_T0,JACOBS_T1,JACOBS_T2,JACOBS_T3,RAINS_T0,RAINS_T1,RAINS_T2,RAINS_T3,WREN_T0,WREN_T1,WREN_T2,WREN_T3,BELLOT_T0,BELLOT_T1,BELLOT_T2,CHRISTIE_T0,CHRISTIE_T1,CHRISTIE_T2,FRANK_T0,FRANK_T1,FRANK_T2,FROST_T0,FROST_T1,FROST_T2,GORMAN_T0,GORMAN_T1,GORMAN_T2,NEWT_T0,NEWT_T1,NEWT_T2,PURVIS_T0,PURVIS_T1,PURVIS_T2,TROY_T0,TROY_T1,TROY_T2,VRIESS_T0,VRIESS_T1,VRIESS_T2,WILLIAMSON_T0,WILLIAMSON_T1,WILLIAMSON_T2,ANDREWS_T0,ANDREWS_T1,ANDREWS_T2,GREGOR_T0,GREGOR_T1,GREGOR_T2,GOLIC_T0,GOLIC_T1,GOLIC_T2,SKELL_T0,SKELL_T1,SKELL_T2,PEREZ_T0,PEREZ_T1,PEREZ_T2,BISHOP_T0,BISHOP_T1,DILLON_T0,DILLON_T1,DRAKE_T0,DRAKE_T1,RIPLEY_T0,RIPLEY_T1,SPUNKMEYER_T0,SPUNKMEYER_T1
HK_001,11.55678191592479,11.664543483803255,11.532397757297831,11.37728390342336,11.57234308537202,11.577493065025319,11.70574755569776,11.58541613959732,11.64416108953628,11.382643103645798,11.618952672123687,11.496761792912462,11.32423967998411,11.468815252409547,11.631611938916297,11.43619906898311,11.625850196736643,11.524116117817258,11.46427805504618,11.612476869016929,11.459649908012397,11.493249829178415,11.487198670188096,11.602614985163376,11.582044074947639,11.52017028276707,11.645906943715744,11.557227008451466,11.554012339356595,11.507223453293307,11.624470896118222,11.471749712191093,11.488208960874262,11.483853905339794,11.558203523897486,11.496767986395227,11.660477474624662,11.515222764060656,11.611086319472273,11.461968691398509,11.461743203734045,11.540092149087831,11.58818220743768,11.48044529451481,11.600673111253796,11.39648456445399,11.526084995694847,11.63321313488521,11.616225459514032,11.452599331315941,11.538329977036959,11.450039094055109,11.640139325938161,11.632961723865114,11.525593028071702,11.601781578796114,11.463767328991914,11.573749449455011,11.554818099825528,11.582990104516547,11.493793283550541,11.554409451912278,11.604579307612553,11.428936495717117,11.538172394924466,11.515909634509262,11.495159034214375,11.63321313488521,11.437744537841011,11.50366465316715,11.541740029371256,11.551922090072432,11.465283561439293,11.599292761882774,11.510755444004635,11.635962872136098,11.57046579813135,11.715973434594414,11.604579307612553,11.65867579466414,11.524662108518225,11.536730901008482,11.554818099825528,11.6161784619158,11.623939211400666,11.60755511686657,11.586768031496094,11.515718280136587,11.484163546261742,11.562512491615529,11.471448013209072,11.600673111253796,11.39648456445399,11.467355258575187,11.616225459514032,11.452599331315941,11.570166064158963,11.640139325938161,11.632961723865114,11.595232368271436,11.48618767151961,11.596169791982708,11.453973046654442,11.516213626078239,11.576829794439975,11.690918223619574,11.538172394924466,11.515909634509262,11.64454826048154,11.460164880368708,11.526084995694847,11.471448013209072,11.48770390396699,11.621713104410471,11.467355258575187,11.57046579813135,11.715973434594414,11.570166064158963,11.516708802002404,11.42472116754395,11.477893206389739,11.767682491241402,11.698889812347224,11.473800451755855,11.529033283589223,11.714851279555294,11.57661125733963,11.531485595994903,11.563471411584956,11.601677561452103,11.449538449600107,11.549176257237708,11.460418239835109,11.538329977036959,11.634545292296261,11.607836482125018,11.516708802002404,11.639555445855528,11.72131015487492,11.590065621596668,11.584880304643983,11.475529190020888,11.607836482125018
HK_002,11.683116714245434,11.673652937329793,11.664657560417265,11.671013055457088,11.672069587939964,11.655071511588067,11.534777277870356,11.669955748674047,11.765112981714386,11.471254007592309,11.750183268890696,11.694079891973477,11.701342665518297,11.581070930144291,11.70702359122279,11.757667437711271,12.225142431290934,12.204752318093917,12.144036799037783,12.218298849931864,12.304383499575149,12.310387788180806,12.25404391236564,11.918098784652159,12.19972925144975,12.192763757824727,12.368668850900422,12.312162048254871,11.932448789167365,11.81573706702248,11.913819374644865,12.051663771104474,12.119168627108243,11.785270234714769,11.767091987567765,12.155941518807428,12.14361631600343,12.243389830894696,12.188423371676768,11.988462677382708,12.867583208349211,12.780624657312499,11.178731060846243,12.068124228656767,11.780379738367698,11.73003356926929,11.156188492195156,11.983877027974367,11.684687992354165,11.799843035802041,11.114600723426529,12.07676314693064,11.697196987260744,11.694599875774705,11.164069399690828,12.183100660474008,12.822857602274045,12.738379448683787,12.321441282651083,12.207138121582714,13.005359201690078,12.917437848393535,12.212610542746482,12.230547109969587,11.744167853472925,11.890231228998394,11.979788622713613,11.981323132740457,12.889095874378619,12.895442382829287,12.32011932619858,12.209757956466868,12.925655824045778,12.776700955989599,12.074133019557673,11.866442228711326,11.75617370673308,11.703927677929824,12.212610542746482,12.163127821688773,12.885228971678064,12.769315129068893,12.321441282651083,12.193004507936406,12.78233792671161,12.817377046349545,12.288699441882233,12.150993151613893,12.255197238065314,12.168238687028602,11.109508254175376,11.780379738367698,11.73003356926929,11.296786822367956,11.684687992354165,11.799843035802041,11.151736489564673,11.697196987260744,11.694599875774705,10.978215134673167,12.210471631990147,12.12599347839989,11.195169452964265,12.392973231406181,12.305051878109637,11.124732050461793,11.744167853472925,11.890231228998394,11.114092284640336,12.276709904094721,12.28305641254539,11.109508254175376,12.31326985376188,12.164314985705701,11.296786822367956,11.75617370673308,11.703927677929824,11.151736489564673,12.205468473502462,12.306832708505038,11.984387264952591,11.616077379972204,11.840350759907416,12.171665833145171,12.116886483145587,12.065480756214253,12.026615500341888,12.179217225986779,12.24918985093178,11.853094145450383,11.77448917540683,11.696677938850437,12.07004846374148,12.235697925388967,12.136295794525847,12.292973430472642,12.151240973488742,12.285993542293953,12.157422725345024,12.077788057808801,12.2035579351787,12.15964168765002,12.133288090085076
HK_003,11.607443934836198,11.567876850456294,11.657220595403448,11.644596933253665,11.559735479242626,11.591089321985896,11.485836001204117,11.680817121166417,11.63140492704134,11.581186816738102,11.544770129635998,11.53454338778875,11.584495209764103,11.503920159116396,11.544770129635998,11.67017969018416,11.723487843733558,11.62157706225286,11.614703799891366,11.736632253915541,11.62157706225286,11.716656484223611,11.595748072401001,11.655862023365248,11.492051175772247,11.58547308856761,11.611945299928802,11.695531930201778,11.619052001229887,11.510492022252645,11.470228152038917,11.617232139694483,11.644254282393948,11.615783235748927,11.667062274158331,11.493550599126571,11.611758740625236,11.742529409738946,11.569922085033095,11.57519771164046,11.683023414670103,11.553960841615991,11.495547409190518,11.633528836818353,11.580240166414839,11.557332188597094,11.69726802552667,11.645185230577614,11.447935549339224,11.509400961926351,11.559460835867108,11.535760482988398,11.779793330968204,11.656322559245668,11.520277103494232,11.465301122322398,11.66795365203092,11.694879444293285,11.56327370902373,11.623404415303867,11.711402352910673,11.433331136430452,11.481007527238754,11.572762036818057,11.614859023647565,11.694879444293285,11.809592656788428,11.657191083837768,11.557813167111597,11.609301283069417,11.464791606145148,11.563749610410493,11.722170390964521,11.612082829639718,11.742949714196657,11.543447188036927,11.685226339271114,11.590619312194839,11.481007527238754,11.557750296343048,11.397772754601128,11.654075020170001,11.56327370902373,11.599002098361241,11.583078255935133,11.68434557304053,11.716656484223611,11.663031489424577,11.67365260518115,11.544590032127038,11.59202017616425,11.580240166414839,11.557332188597094,11.644254282393948,11.447935549339224,11.509400961926351,11.476465191715164,11.779793330968204,11.656322559245668,11.685508634804332,11.658582842541968,11.685508634804332,11.562797650599714,11.70203154342172,11.423960326941499,11.498039541509804,11.614859023647565,11.694879444293285,11.457639420614331,11.548442357622644,11.599930473580464,11.59202017616425,11.712799581475569,11.602712020150765,11.644254282393948,11.685226339271114,11.590619312194839,11.476465191715164,11.877661651903757,11.50697574032726,11.581744799237098,11.53307648879009,11.37338859597417,11.633978905466797,11.599002098361241,11.604100784937186,11.466189814788013,11.597608414426528,11.634773229383065,11.675233257877181,11.57834500024295,11.502421773964336,11.552522273672563,11.699435210913752,11.670562848673194,11.694228486317702,11.463772033635653,11.458663334809822,11.50944822600678,11.568500009963898,11.677615450757822,11.557550613753026,11.488045077978688
HK_004,11.648686549664994,11.693604062935213,11.543984408064462,11.583448406738269,11.827198900899804,11.664545341864438,11.69789142133831,11.583448406738269,11.543508035254822,11.644250214555179,11.510740005785403,11.71025319181076,11.539213586782715,11.690164978968442,11.633099323975658,11.640245815571657,11.536474147428535,11.696135501213147,11.779601020025376,11.513152343979817,11.612688017530731,11.540406538390327,11.668553072256309,11.6677324341354,11.526100332534641,11.537950050412384,11.47411024325152,11.58677769588204,11.468015307517502,11.59725491925532,11.688308315271952,11.662874126942116,11.59861283231901,11.370064918141864,11.621410238197067,11.413223570379412,11.558780771440684,11.617814705351616,11.564261327528232,11.679588463758583,11.57834151630518,11.51997095351862,11.753583126835341,11.759959725970578,11.651341817360954,11.6000365874045,11.645462214643493,11.511902951518502,11.538257526415792,11.594528359112692,11.638599850154682,11.62204252622042,11.556315209975182,11.705150816763247,11.627089536658206,11.537950050412384,11.59314800974167,11.669356516688536,11.61455437618803,11.476677773811529,11.521906807604303,11.662791838104493,11.70798431796153,11.578673985265677,11.549214153600039,11.55678737330484,11.740387577930633,11.78375222209234,11.575082239370717,11.750848014769689,11.615486650883405,11.69260597030069,11.678497170545004,11.5811293336768,11.629860398664036,11.581426547708437,11.650457271017554,11.453064294888506,11.70798431796153,11.553540664821359,11.594988182237188,11.648686549664994,11.61455437618803,11.575323887463671,11.739246728490924,11.605067388333556,11.729672865943465,11.48435306257017,11.618279865775085,11.559909302988524,11.443463183557094,11.651341817360954,11.6000365874045,11.528577062826853,11.538257526415792,11.594528359112692,11.613621498663843,11.556315209975182,11.705150816763247,11.581539318960067,11.633086359211575,11.70929486615844,11.593890422076605,11.561845157074208,11.702730187574398,11.625239334364363,11.549214153600039,11.55678737330484,11.647742434876175,11.615020588840622,11.790786364239594,11.443463183557094,11.718435520014909,11.621067683146705,11.528577062826853,11.650457271017554,11.453064294888506,11.613621498663843,11.458608356557841,11.685520897542174,11.415941690011751,11.645138573598572,11.520939205260259,11.50105556928151,11.656374551882658,11.624313342650359,11.5861000051185,11.63538620832111,11.612221050366632,11.554017825414723,11.475713033833705,11.675021842057111,11.566368928531261,11.486392928644742,11.615486650883405,11.70404551516062,11.457048967062597,11.610351668775776,11.661799923519515,11.597197731625965,11.620603420860835,11.646830779211786,11.635845738517984
HK_005,11.828713326907243,11.917779124093625,12.037493711508214,11.95518238668402,12.119727912775614,12.110493855387436,12.06844422065085,12.027716179602978,11.996397401799573,11.866157635801471,12.115847089881642,11.92943396565076,12.01891133601236,11.897012487958383,12.144701952553827,11.934950970618326,11.536815393568464,11.521451083916284,11.526590722558002,11.409059846370091,11.510597872832154,11.488643394190845,11.465279401125335,11.97889596210199,11.390010392367104,11.546968109929356,11.544436621227733,11.511116548027706,11.968912513253098,11.938161854425859,11.998385336888848,11.983127281883496,11.54797946296123,12.08689899831628,11.917221776186022,11.50696191580907,11.971137035440147,11.457227128830603,11.562564964980373,11.980093028424479,12.022543370042243,11.811421052850918,13.93909281362676,11.97889596210199,12.104631219317515,12.06442276845566,14.054784985288622,12.004099706534864,11.984209272031226,12.112929606499348,14.051133830802806,11.994198596717503,11.987398724415488,11.820987238192451,14.147360651220117,11.41072866673071,12.006912718328477,11.942091680239576,11.541392959675008,11.459916216358241,12.053812811387457,12.122631694448751,11.364404799366122,11.432797090010045,11.919449877078138,12.048223917111532,12.082669078784846,11.881240947083889,11.989521115443193,11.980479310475697,11.485479588008674,11.54342278067941,11.9948134729588,12.008483426203705,10.859558340237381,12.003284752465303,11.949197220472191,12.090858369695782,11.364404799366122,12.129811627022887,11.86095038917455,11.950832002563136,11.541392959675008,11.358075917651288,12.00061272997274,12.01422810183024,11.570051723042397,11.535796181204711,11.512153339334196,11.30103102214287,14.060200147016289,12.104631219317515,12.06442276845566,14.08436351439832,11.984209272031226,12.112929606499348,13.924565015237986,11.987398724415488,11.820987238192451,13.975818635198005,11.49652268762043,11.43170164953153,14.127116977986233,11.54342278067941,11.612241663740704,14.057361941176008,11.919449877078138,12.048223917111532,14.0029004984377,11.479131084735146,11.47008927976765,14.060200147016289,11.484423442250753,11.498093395495658,14.08436351439832,11.949197220472191,12.090858369695782,13.924565015237986,11.488116574743367,11.556044865048518,12.034997550275623,11.966540119517825,11.910516752308132,12.059160917657653,11.623798695163105,11.528129050453058,11.89936241849732,11.396201018386284,11.484951611775557,11.950616038457339,12.010575046781582,12.035440783319912,12.101914381245567,11.391701381082935,11.376410652626276,11.397884770813414,11.51422468935389,11.568059050017192,11.536305877391214,11.311192993179796,11.364404799366122,11.380390503538822,11.54797946296123
HK_006,11.591018180489561,11.325274136464994,11.320215001972985,11.377080059277876,11.418173097410564,11.586811388146124,11.259842383993503,11.414485359311257,11.44682478010753,11.468327375355729,11.430224006753408,11.39215875613301,11.449401482062155,11.579772692898358,11.353061879959755,11.385177526976474,11.391977516463948,11.49889272038046,11.412207520097672,11.424839735419091,11.434241836304947,11.417484391528909,11.422742032336485,11.292051772136912,11.612760684938738,11.4311146059456,11.431636281974026,11.439438870170218,11.58187553486865,11.581399790415572,11.478359165694172,11.43951204106258,11.504358421923838,11.358007325811002,11.465784284549356,11.470233957013072,11.443705924948771,11.380134430965498,11.485388456030712,11.476313514814901,11.520232068571733,11.47340014795519,11.584890628785358,11.228449971886386,11.596143212667428,11.552228632964676,11.475303164761483,11.445798303910012,11.492015826122536,11.599859106649303,11.460553113420795,11.46294561052443,11.377621306720311,11.524637247691734,11.40797208207321,11.527969368943856,11.497504210901742,11.364574992878167,11.623759683887997,11.392513535433848,11.519741772886169,11.278510756612373,11.467692658063047,11.556949821970234,11.430224006753408,11.547426048500078,11.378932998769058,11.43793618613704,11.36129489663939,11.428657845889388,11.366557302331223,11.456970047791122,11.450430875641961,11.450945297127493,11.592841958912796,11.40766317502324,11.497504210901742,11.27212071377194,11.467692658063047,11.54037709736848,11.547907027014581,11.454541120703873,11.623759683887997,11.469217974547922,11.688031250923652,11.444760099911289,11.46361724563293,11.557905882337156,11.521122667763926,11.474290747147382,11.41537595850345,11.596143212667428,11.552228632964676,11.439438870170218,11.492015826122536,11.599859106649303,11.556471554092195,11.377621306720311,11.524637247691734,11.506340826963878,11.498394810093934,11.36546559207036,11.441512453050924,11.520632372078362,11.279401355804566,11.526993255888426,11.430224006753408,11.547426048500078,11.436842693401791,11.362185495831582,11.429548445081581,11.41537595850345,11.451321474834154,11.451835896319686,11.439438870170218,11.497504210901742,11.27212071377194,11.556471554092195,11.485890874646582,11.432679068460256,11.432670869924399,11.488011118371636,11.274447641761695,11.456733781591167,11.543980609908997,11.507825845150467,11.573766465513144,11.354502811045286,11.308095520471037,11.523635738384828,11.366212248632726,11.457616137940974,11.458807364471873,11.554556895495459,11.331206191134147,11.352851185174128,11.461064254273223,11.338457331676825,11.386068126168666,11.438920008434401,11.47580910726742,11.321668604115109,11.28979712165747
HK_007,11.974204789452852,11.95730772017667,12.100435439463325,11.991394550750368,11.907466981553895,12.198008159597007,12.122002132565342,11.977659166094224,11.9840525754092,12.099982687210783,12.019915837283296,12.091808755765083,11.981105291358862,11.923419898255894,11.934635251875013,12.183551324392658,12.269359020774528,12.175197450267937,12.188236745339095,12.096080698694998,12.20849189036636,12.106771545501832,12.106771545501832,12.203392094944043,12.161499600538377,12.082462237304021,12.150664438523995,12.081036226472401,12.187808717670924,12.333531021740649,12.323487921201933,12.163582415801557,12.187441799020393,11.836948281376989,12.00112608876814,12.173325035935166,12.40031901216314,12.177334380917312,12.10929202665695,12.368417828356145,12.876344464058114,12.818904105907228,12.55060076958657,12.1132142852106,12.0189581903574,11.91469337611629,12.55779524576726,12.263103926469023,11.962796104955876,12.134877477656968,12.570249069298015,12.166977493211032,12.02421739931318,12.18568643657885,12.519354348073605,12.154737166478256,12.786351318082769,12.810350280281485,12.183991960987022,12.285050118493995,12.791687877419273,12.769937584274949,12.244351512201046,12.03699874198608,11.944251567351225,12.04271070318526,12.100841939507893,12.168883719043375,12.687659572628974,12.935396769465083,12.217346003245787,12.03405386437469,12.738867377578151,12.845886437508248,12.275356722290152,12.15719503062957,12.031833095207768,11.94677155932974,12.244351512201046,12.312416642686808,12.667328903289466,12.86732759070068,12.183991960987022,12.068138300724875,12.849931001527851,12.962298022768678,12.190883407319472,12.010275904769795,12.19114780666794,12.133707448517054,12.371113417153522,12.0189581903574,11.91469337611629,12.422238333524307,11.962796104955876,12.134877477656968,12.58621965321456,12.02421739931318,12.18568643657885,12.604598182529415,12.101154660692595,12.125153622891311,12.611528993529998,12.106491220029099,12.084740926884775,12.590234949546781,11.944251567351225,12.04271070318526,12.474874677374013,12.0024629152388,12.250200112074909,12.371113417153522,12.053670720187977,12.160689780118075,12.422238333524307,12.031833095207768,11.94677155932974,12.58621965321456,12.11543472819541,11.988535425777307,12.02803203767576,12.073938078926394,11.959805029162522,12.079156954046546,12.0372928994019,12.127918466667555,12.243138273736799,11.988231156021694,12.177601274829993,12.261516803051654,12.0280302724698,12.04365271761043,12.268447614052237,12.08331716772364,12.194844318677879,12.133432308811654,12.162308966641449,12.119052250687128,12.174930111243567,12.100028654749863,12.19141215756944,12.239757750892563,12.143850904366737
HK_008,11.963969629065934,12.016491629307788,11.935675540801784,11.974122345426826,12.182426828878352,11.868140723320861,11.898843251197901,11.763736010248211,12.002175632902532,11.976144343012036,12.013049028292548,11.786382925915555,11.95323181736328,12.139769356098611,12.115667034398625,12.192896993061238,11.637170299303436,11.452702950592927,11.547882937819407,11.5598473052775,11.503144623054123,11.480244220944043,11.647485354912739,12.012182537899527,11.52771915688744,11.403756471875736,11.55337892557426,11.475514930470434,12.116521768082576,11.990467371035546,11.856281213517208,11.88299968160698,11.641399012758624,11.914216593868835,12.068590591776632,11.705631339859968,12.02724567977675,11.601440512764011,11.613927298791362,11.955948229220922,11.912105847273027,11.868140723320861,13.805944617622734,12.003202044093648,11.977154280078754,12.05860650320401,13.679138353407648,12.10132829234405,12.006139083309874,12.119331023773448,13.684271084191408,12.0186888747373,12.003663203105702,12.082265528673709,13.773775227545723,11.54236593285184,11.967531212707328,11.914743798347894,11.710559040800302,11.583970732709554,11.995711711859537,11.846198170440184,11.539851211906806,11.537836274371326,12.167462804731402,11.928905979371196,11.911722887494909,12.06129475503417,11.989719200477843,12.035522890090968,11.622033687891692,11.508298951655282,11.912105847273027,11.983701694190119,11.614883359158284,12.020558149469686,11.928905979371196,11.958866351580202,11.539851211906806,12.015273949593226,12.130721380120914,12.05860650320401,11.710559040800302,11.588358049950493,12.072375953189717,11.911049314790151,11.564803321971596,11.545879194384957,11.470770085934749,11.426804961982583,13.776234337040988,11.977154280078754,12.05860650320401,13.583604519979858,12.006139083309874,12.119331023773448,13.724024069697892,12.003663203105702,12.082265528673709,13.70417220132725,11.52619545136905,11.473408037009616,13.862986919901136,11.554375950521258,11.404862409101906,13.685181660973283,12.167462804731402,11.928905979371196,13.657147204748927,11.548383439139565,11.59418712875269,13.776234337040988,11.470770085934749,11.54236593285184,13.583604519979858,11.928905979371196,11.958866351580202,13.724024069697892,11.623459510812118,11.479194606462759,12.06129475503417,11.94963471299356,12.210180159217435,11.86866493797304,11.679366862957645,11.502111543854312,12.009084487691075,11.655405870752503,11.597576579979872,11.989232619320433,12.177602490760743,11.983701694190119,12.148047337894319,11.620130396004972,11.464419253782362,11.633401009005464,11.535818518740475,11.58933120009929,11.415326744262705,11.642337045978204,11.458040341219656,11.633872709202862,11.6563348437665
HK_009,11.63733245624532,11.757956646805063,11.742220600413903,11.721941420560832,11.733081978166032,11.826492917732796,11.825135512858418,11.746051190227268,11.780543331872302,11.784739248666781,11.689486789278563,11.684505102557615,11.76646814666058,11.610793404156421,11.656794026320082,11.660857958699982,12.134657948292423,12.018530842994062,12.143770300970095,11.993843668310404,12.157596455837112,12.146706135014353,12.147505781246865,11.941659487247332,12.029561563040327,12.065827157913539,12.291438804151253,12.170242512331285,12.029814819914622,11.844241790647727,11.840710099677473,11.956653529750001,11.898261947721315,11.703837158390176,11.968921720943698,12.052512057621378,11.865748823281216,12.127920777924036,12.033027498739475,11.831080270922733,12.513300770286122,12.4171726447862,11.238882058272724,11.89814823618697,11.747485043293008,11.739821306594838,11.305359443244344,11.765006971889608,11.632684428108877,11.755583402248025,11.180696869968452,11.974258890019428,11.631131751681819,11.608165064859792,11.028114962055904,12.207528881629166,12.552654477273682,12.348599056598573,12.152294373276634,12.08264851102441,12.471108696745679,12.336899328585247,12.112168303584266,12.156272760872346,11.832810641489276,11.669960165807232,11.865748823281216,11.902510495639543,12.385290261481682,12.438634619700778,12.017947935898905,11.874631620184406,12.464730211496303,12.47428739516727,12.100928247360319,11.785621027161328,11.561104864450758,11.745094495868013,12.112168303584266,11.890360389794525,12.482634182775932,12.6298365769464,12.152294373276634,11.920887992597198,12.37419492342046,12.36643931372657,12.022604611447639,12.220253386774168,12.071175170237458,11.975047044737536,11.293366896708049,11.747485043293008,11.739821306594838,11.3153567100627,11.632684428108877,11.755583402248025,11.393833558757672,11.631131751681819,11.608165064859792,11.310128687392215,12.110528877225018,11.906473456549909,11.2207600399983,12.028983096697015,11.894773728536583,11.302011566626364,11.832810641489276,11.669960165807232,11.374383229111512,11.943164661433018,11.996509019652114,11.293366896708049,12.022604611447639,12.032161795118606,11.3153567100627,11.561104864450758,11.745094495868013,11.393833558757672,12.180175947398832,11.95265107725866,11.909270123324522,11.690481065707226,11.65220837691174,11.931259936679172,12.045665163025621,11.956610762111428,12.009736785374145,12.096794052991795,11.881697371373747,11.926031914008687,11.729216751364008,11.646071416048157,11.836663266614773,11.9855198329087,12.067799785486466,11.922134650735595,12.005358127589503,11.902373544394745,12.138953284672318,11.951125223027699,12.00624006039795,12.216955796673592,12.057342355722009
HK_010,11.808025160978726,11.792666984899364,11.79121873812469,11.728032120444995,11.655597651838658,11.80372217340836,11.720950153007841,11.646015140322865,11.771278930849746,11.713323553533142,11.76194424622265,11.619602275926486,11.729545172540565,11.727022536750269,11.663534743419957,11.818963728607592,12.282688617124673,12.314932733489695,12.087663633823986,12.194299139073937,12.241049506342227,12.209012030526189,12.213325023397273,12.112546782432194,12.247138812632816,12.230921983444356,12.142971582995855,12.251106430711452,12.032151676796145,11.990964463996555,11.990964463996555,11.840973497852408,12.03232205822967,11.707704978384319,11.822276462648428,12.233283573496795,11.984405601316128,12.217625160830897,12.254133146181578,11.81220325916275,12.94565887815371,12.860756830249619,11.187738661898672,12.092512264848374,11.657188567317892,11.64173573031557,11.096770765956512,12.031662378829479,11.657188567317892,11.70514382905043,11.208532012208373,11.937116742322477,11.72853664747965,11.716379033053414,11.119417888799738,12.111223645736223,12.895094797823564,12.744090109290948,12.31404052873591,12.149238185850647,12.651080507399653,12.846882432172565,12.082433629760704,12.273309293408577,11.70565642278149,11.695885861189334,11.945453031553255,12.028232638621473,12.701550564326423,12.861447059929105,12.243863149439584,12.238465504112758,12.897115851211602,12.850827077283077,12.207571496166974,12.067429514899237,11.77763119700782,11.869246670497233,12.082433629760704,12.03898448069569,12.739842108353033,12.924456857454906,12.31404052873591,12.3451623659871,12.657188567317892,12.70949508147426,12.1212041922536,12.240580031869849,12.354304398949637,12.269402351045546,11.047700159388585,11.657188567317892,11.64173573031557,11.234227128168028,11.657188567317892,11.70514382905043,11.268711790980879,11.72853664747965,11.716379033053414,10.954590754997104,12.303740318619491,12.152735630086875,11.283372520925528,12.05972602819558,12.255527952968492,11.00300410517796,11.70565642278149,11.695885861189334,11.080598639909208,12.11019608512235,12.270092580725033,11.047700159388585,12.30576137200753,12.259472598079004,11.234227128168028,11.77763119700782,11.869246670497233,11.268711790980879,12.26571553852096,12.262019280189351,11.898458992513168,11.71281367721015,11.81088670579963,12.084985961292611,12.294723445262056,12.25017385469909,12.119470624105462,12.116350499180246,12.247138812632816,11.805349588121688,11.730552993078154,11.716379033053414,12.134131354050112,12.216431963309496,12.120438904441,12.40105706061196,12.277663391825408,12.245033883124611,12.167876310554863,12.229266567266293,12.129849200742457,12.15522862369303,12.182615363057392
