sample_id,status,timepoint,batch
AARON_T0,control,0,BatchA
ANDREWS_T0,control,0,BatchB
APONE_T0,creature,0,BatchA
BELLOT_T0,infected,0,BatchB
BISHOP_T0,control,0,BatchB
BOGGS_T0,infected_antidote,0,BatchA
BURKE_T0,creature,0,BatchA
CALL_T0,hope,0,BatchB
CHRISTIE_T0,infected,0,BatchA
CLEMENS_T0,infected_antidote,0,BatchA
CROWE_T0,control,0,BatchA
DIETRICH_T0,infected_antidote,0,BatchA
DILLON_T0,control,0,BatchB
DISTEPHANO_T0,creature,0,BatchA
DRAKE_T0,control,0,BatchB
FERRO_T0,control,0,BatchA
FRANK_T0,infected,0,BatchA
FROST_T0,infected,0,BatchA
GOLIC_T0,control,0,BatchB
GORMAN_T0,infected,0,BatchB
GREGOR_T0,control,0,BatchA
HICKS_T0,creature,0,BatchA
HILLARD_T0,control,0,BatchA
HUDSON_T0,creature,0,BatchA
JACOBS_T0,infected_antidote,0,BatchA
JOHNER_T0,control,0,BatchA
JUDE_T0,control,0,BatchA
NEWT_T0,infected,0,BatchB
OUTLIER_C_T0,outlier_c,0,BatchA
PEREZ_T0,control,0,BatchA
PURVIS_T0,infected,0,BatchA
RAINS_T0,infected_antidote,0,BatchA
RIPLEY_T0,control,0,BatchB
SABRA_T0,control,0,BatchA
SKELL_T0,control,0,BatchB
SPUNKMEYER_T0,control,0,BatchB
TROY_T0,infected,0,BatchB
TULLY_T0,creature,0,BatchA
VRIESS_T0,infected,0,BatchB
WIERZBOWSKI_T0,control,0,BatchA
WILLIAMSON_T0,infected,0,BatchA
WREN_T0,infected_antidote,0,BatchA
AARON_T1,control,1,BatchA
ANDREWS_T1,control,1,BatchB
APONE_T1,creature,1,BatchA
BELLOT_T1,infected,1,BatchB
BISHOP_T1,control,1,BatchB
BOGGS_T1,infected_antidote,1,BatchA
BURKE_T1,creature,1,BatchA
CALL_T1,hope,1,BatchA
CHRISTIE_T1,infected,1,BatchA
CLEMENS_T1,infected_antidote,1,BatchA
CROWE_T1,control,1,BatchA
DIETRICH_T1,infected_antidote,1,BatchA
DILLON_T1,control,1,BatchB
DISTEPHANO_T1,creature,1,BatchA
DRAKE_T1,control,1,BatchB
FERRO_T1,control,1,BatchA
FRANK_T1,infected,1,BatchA
FROST_T1,infected,1,BatchA
GOLIC_T1,control,1,BatchB
GORMAN_T1,infected,1,BatchB
GREGOR_T1,control,1,BatchA
HICKS_T1,creature,1,BatchA
HILLARD_T1,control,1,BatchA
HUDSON_T1,creature,1,BatchA
JACOBS_T1,infected_antidote,1,BatchA
JOHNER_T1,control,1,BatchA
JUDE_T1,control,1,BatchA
NEWT_T1,infected,1,BatchB
OUTLIER_C_T1,outlier_c,1,BatchB
PEREZ_T1,control,1,BatchA
PURVIS_T1,infected,1,BatchA
RAINS_T1,infected_antidote,1,BatchA
RIPLEY_T1,control,1,BatchB
SABRA_T1,control,1,BatchA
SKELL_T1,control,1,BatchB
SPUNKMEYER_T1,control,1,BatchB
TROY_T1,infected,1,BatchB
TULLY_T1,creature,1,BatchA
VRIESS_T1,infected,1,BatchB
WIERZBOWSKI_T1,control,1,BatchA
WILLIAMSON_T1,infected,1,BatchA
WREN_T1,infected_antidote,1,BatchA
AARON_T2,control,2,BatchC
ANDREWS_T2,control,2,BatchC
APONE_T2,creature,2,BatchB
BELLOT_T2,infected,2,BatchB
BOGGS_T2,infected_antidote,2,BatchC
BURKE_T2,creature,2,BatchB
CALL_T2,hope,2,BatchC
CHRISTIE_T2,infected,2,BatchB
CLEMENS_T2,infected_antidote,2,BatchB
CROWE_T2,control,2,BatchB
DIETRICH_T2,infected_antidote,2,BatchB
DISTEPHANO_T2,creature,2,BatchB
FERRO_T2,control,2,BatchB
FRANK_T2,infected,2,BatchB
FROST_T2,infected,2,BatchB
GOLIC_T2,control,2,BatchC
GORMAN_T2,infected,2,BatchB
GREGOR_T2,control,2,BatchC
HICKS_T2,creature,2,BatchB
HILLARD_T2,control,2,BatchB
HUDSON_T2,creature,2,BatchB
JACOBS_T2,infected_antidote,2,BatchB
JOHNER_T2,control,2,BatchB
JUDE_T2,control,2,BatchB
NEWT_T2,infected,2,BatchB
OUTLIER_C_T2,outlier_c,2,BatchB
PEREZ_T2,control,2,BatchC
PURVIS_T2,infected,2,BatchB
RAINS_T2,infected_antidote,2,BatchB
SABRA_T2,control,2,BatchB
SKELL_T2,control,2,BatchC
TROY_T2,infected,2,BatchB
TULLY_T2,creature,2,BatchB
VRIESS_T2,infected,2,BatchB
WIERZBOWSKI_T2,control,2,BatchB
WILLIAMSON_T2,infected,2,BatchB
WREN_T2,infected_antidote,2,BatchB
AARON_T3,control,3,BatchC
APONE_T3,creature,3,BatchC
BOGGS_T3,infected_antidote,3,BatchC
BURKE_T3,creature,3,BatchC
CALL_T3,hope,3,BatchB
CLEMENS_T3,infected_antidote,3,BatchB
CROWE_T3,control,3,BatchC
DIETRICH_T3,infected_antidote,3,BatchC
DISTEPHANO_T3,creature,3,BatchC
FERRO_T3,control,3,BatchB
HICKS_T3,creature,3,BatchB
HILLARD_T3,control,3,BatchC
HUDSON_T3,creature,3,BatchB
JACOBS_T3,infected_antidote,3,BatchC
JOHNER_T3,control,3,BatchB
JUDE_T3,control,3,BatchB
OUTLIER_C_T3,outlier_c,3,BatchC
RAINS_T3,infected_antidote,3,BatchB
SABRA_T3,control,3,BatchB
TULLY_T3,creature,3,BatchB
WIERZBOWSKI_T3,control,3,BatchC
WREN_T3,infected_antidote,3,BatchB
