sample_id,batch,timepoint,cluster
AARON_T0,BatchA,0,
ANDREWS_T0,BatchB,0,
APONE_T0,BatchA,0,
BELLOT_T0,BatchB,0,
BISHOP_T0,BatchB,0,
BOGGS_T0,BatchA,0,
BURKE_T0,BatchA,0,
CALL_T0,BatchB,0,
CHRISTIE_T0,BatchA,0,
CLEMENS_T0,BatchA,0,
CROWE_T0,BatchA,0,
DIETRICH_T0,BatchA,0,
DILLON_T0,BatchB,0,
DISTEPHANO_T0,BatchA,0,
DRAKE_T0,BatchB,0,
FERRO_T0,BatchA,0,
FRANK_T0,BatchA,0,
FROST_T0,BatchA,0,
GOLIC_T0,BatchB,0,
GORMAN_T0,BatchB,0,
GREGOR_T0,BatchA,0,
HICKS_T0,BatchA,0,
HILLARD_T0,BatchA,0,
HUDSON_T0,BatchA,0,
JACOBS_T0,BatchA,0,
JOHNER_T0,BatchA,0,
JUDE_T0,BatchA,0,
NEWT_T0,BatchB,0,
OUTLIER_C_T0,BatchA,0,
PEREZ_T0,BatchA,0,
PURVIS_T0,BatchA,0,
RAINS_T0,BatchA,0,
RIPLEY_T0,BatchB,0,
SABRA_T0,BatchA,0,
SKELL_T0,BatchB,0,
SPUNKMEYER_T0,BatchB,0,
TROY_T0,BatchB,0,
TULLY_T0,BatchA,0,
VRIESS_T0,BatchB,0,
WIERZBOWSKI_T0,BatchA,0,
WILLIAMSON_T0,BatchA,0,
WREN_T0,BatchA,0,
AARON_T1,BatchA,1,
ANDREWS_T1,BatchB,1,
APONE_T1,BatchA,1,
BELLOT_T1,BatchB,1,
BISHOP_T1,BatchB,1,
BOGGS_T1,BatchA,1,
BURKE_T1,BatchA,1,
CALL_T1,BatchA,1,
CHRISTIE_T1,BatchA,1,
CLEMENS_T1,BatchA,1,
CROWE_T1,BatchA,1,
DIETRICH_T1,BatchA,1,
DILLON_T1,BatchB,1,
DISTEPHANO_T1,BatchA,1,
DRAKE_T1,BatchB,1,
FERRO_T1,BatchA,1,
FRANK_T1,BatchA,1,
FROST_T1,BatchA,1,
GOLIC_T1,BatchB,1,
GORMAN_T1,BatchB,1,
GREGOR_T1,BatchA,1,
HICKS_T1,BatchA,1,
HILLARD_T1,BatchA,1,
HUDSON_T1,BatchA,1,
JACOBS_T1,BatchA,1,
JOHNER_T1,BatchA,1,
JUDE_T1,BatchA,1,
NEWT_T1,BatchB,1,
OUTLIER_C_T1,BatchB,1,
PEREZ_T1,BatchA,1,
PURVIS_T1,BatchA,1,
RAINS_T1,BatchA,1,
RIPLEY_T1,BatchB,1,
SABRA_T1,BatchA,1,
SKELL_T1,BatchB,1,
SPUNKMEYER_T1,BatchB,1,
TROY_T1,BatchB,1,
TULLY_T1,BatchA,1,
VRIESS_T1,BatchB,1,
WIERZBOWSKI_T1,BatchA,1,
WILLIAMSON_T1,BatchA,1,
WREN_T1,BatchA,1,
AARON_T2,BatchC,2,
ANDREWS_T2,BatchC,2,
APONE_T2,BatchB,2,
BELLOT_T2,BatchB,2,
BOGGS_T2,BatchC,2,
BURKE_T2,BatchB,2,
CALL_T2,BatchC,2,
CHRISTIE_T2,BatchB,2,
CLEMENS_T2,BatchB,2,
CROWE_T2,BatchB,2,
DIETRICH_T2,BatchB,2,
DISTEPHANO_T2,BatchB,2,
FERRO_T2,BatchB,2,
FRANK_T2,BatchB,2,
FROST_T2,BatchB,2,
GOLIC_T2,BatchC,2,
GORMAN_T2,BatchB,2,
GREGOR_T2,BatchC,2,
HICKS_T2,BatchB,2,
HILLARD_T2,BatchB,2,
HUDSON_T2,BatchB,2,
JACOBS_T2,BatchB,2,
JOHNER_T2,BatchB,2,
JUDE_T2,BatchB,2,
NEWT_T2,BatchB,2,
OUTLIER_C_T2,BatchB,2,
PEREZ_T2,BatchC,2,
PURVIS_T2,BatchB,2,
RAINS_T2,BatchB,2,
SABRA_T2,BatchB,2,
SKELL_T2,BatchC,2,
TROY_T2,BatchB,2,
TULLY_T2,BatchB,2,
VRIESS_T2,BatchB,2,
WIERZBOWSKI_T2,BatchB,2,
WILLIAMSON_T2,BatchB,2,
WREN_T2,BatchB,2,
AARON_T3,BatchC,3,
APONE_T3,BatchC,3,
BOGGS_T3,BatchC,3,
BURKE_T3,BatchC,3,
CALL_T3,BatchB,3,
CLEMENS_T3,BatchB,3,
CROWE_T3,BatchC,3,
DIETRICH_T3,BatchC,3,
DISTEPHANO_T3,BatchC,3,
FERRO_T3,BatchB,3,
HICKS_T3,BatchB,3,
HILLARD_T3,BatchC,3,
HUDSON_T3,BatchB,3,
JACOBS_T3,BatchC,3,
JOHNER_T3,BatchB,3,
JUDE_T3,BatchB,3,
OUTLIER_C_T3,BatchC,3,
RAINS_T3,BatchB,3,
SABRA_T3,BatchB,3,
TULLY_T3,BatchB,3,
WIERZBOWSKI_T3,BatchC,3,
WREN_T3,BatchB,3,
