sample_id,batch,timepoint,cluster
AARON_T0,BatchA,0,healthy
ANDREWS_T0,BatchB,0,healthy
APONE_T0,BatchA,0,transformed_B
BELLOT_T0,BatchB,0,
BISHOP_T0,BatchB,0,healthy
BOGGS_T0,BatchA,0,transformed_A
BURKE_T0,BatchA,0,transformed_B
CALL_T0,BatchB,0,healthy
CHRISTIE_T0,BatchA,0,
CLEMENS_T0,BatchA,0,transformed_A
CROWE_T0,BatchA,0,healthy
DIETRICH_T0,BatchA,0,transformed_A
DILLON_T0,BatchB,0,healthy
DISTEPHANO_T0,BatchA,0,transformed_B
DRAKE_T0,BatchB,0,healthy
FERRO_T0,BatchA,0,healthy
FRANK_T0,BatchA,0,
FROST_T0,BatchA,0,
GOLIC_T0,BatchB,0,healthy
GORMAN_T0,BatchB,0,
GREGOR_T0,BatchA,0,healthy
HICKS_T0,BatchA,0,transformed_B
HILLARD_T0,BatchA,0,healthy
HUDSON_T0,BatchA,0,transformed_B
JACOBS_T0,BatchA,0,transformed_A
JOHNER_T0,BatchA,0,healthy
JUDE_T0,BatchA,0,healthy
NEWT_T0,BatchB,0,
OUTLIER_C_T0,BatchA,0,outlier
PEREZ_T0,BatchA,0,healthy
PURVIS_T0,BatchA,0,
RAINS_T0,BatchA,0,transformed_A
RIPLEY_T0,BatchB,0,healthy
SABRA_T0,BatchA,0,healthy
SKELL_T0,BatchB,0,healthy
SPUNKMEYER_T0,BatchB,0,healthy
TROY_T0,BatchB,0,
TULLY_T0,BatchA,0,transformed_B
VRIESS_T0,BatchB,0,
WIERZBOWSKI_T0,BatchA,0,healthy
WILLIAMSON_T0,BatchA,0,
WREN_T0,BatchA,0,transformed_A
AARON_T1,BatchA,1,healthy
ANDREWS_T1,BatchB,1,healthy
APONE_T1,BatchA,1,transformed_B
BELLOT_T1,BatchB,1,
BISHOP_T1,BatchB,1,healthy
BOGGS_T1,BatchA,1,transformed_A
BURKE_T1,BatchA,1,transformed_B
CALL_T1,BatchA,1,healthy
CHRISTIE_T1,BatchA,1,
CLEMENS_T1,BatchA,1,transformed_A
CROWE_T1,BatchA,1,healthy
DIETRICH_T1,BatchA,1,transformed_A
DILLON_T1,BatchB,1,healthy
